# JOB COMPLETION METRICS
Job ID,CPU ID,Waiting Time,Completion Time,MMU RAM % Used,Job RAM % Used,Job Cache % Used
1,0,0,1,0.065,0.065,0.523
2,1,0,1,0.202,0.07,0.563
3,2,0,1,0.132,0.066,0.531
4,3,1,0,0.264,0.062,0.492
5,0,1,1,0.207,0.07,0.563
6,3,1,1,0.207,0.066,0.531
7,2,1,1,0.198,0.062,0.492
8,1,1,1,0.26,0.062,0.492
9,2,2,1,0.265,0.066,0.531
10,1,2,1,0.273,0.07,0.563
11,3,2,1,0.202,0.065,0.523
12,0,2,1,0.272,0.07,0.563
13,2,3,1,0.202,0.066,0.531
14,1,3,1,0.198,0.062,0.492
15,3,3,1,0.265,0.066,0.531
16,0,3,1,0.256,0.062,0.492
17,1,4,1,0.265,0.07,0.563
18,0,4,1,0.27,0.066,0.531
19,2,4,1,0.207,0.07,0.563
20,3,4,1,0.273,0.066,0.531
21,1,5,1,0.128,0.062,0.492
22,2,5,4,0.264,0.07,0.563
23,0,5,1,0.193,0.065,0.523
24,3,5,4,0.264,0.066,0.531
25,1,6,0,0.268,0.065,0.523
26,0,6,3,0.264,0.062,0.492
27,1,6,3,0.264,0.065,0.523
28,3,9,1,0.206,0.07,0.563
29,0,9,1,0.202,0.066,0.531
30,2,9,1,0.264,0.062,0.492

# CPU COMPLETION METRICS
CPU ID,Completion Time,I/O Processes,Number of Jobs,% of Jobs
0,10,84,8,0.267
1,9,90,8,0.267
2,10,81,7,0.233
3,10,83,7,0.233
