# JOB COMPLETION METRICS
Job ID,CPU ID,Waiting Time,Completion Time,MMU RAM % Used,Job RAM % Used,Job Cache % Used
1,3,1,0,0.264,0.065,0.523
2,2,2,1,0.202,0.07,0.563
3,0,3,1,0.198,0.066,0.531
4,1,2,1,0.202,0.062,0.492
5,3,1,1,0.269,0.07,0.563
6,3,4,0,0.266,0.066,0.531
7,0,2,1,0.264,0.062,0.492
8,3,5,0,0.194,0.062,0.492
9,1,1,1,0.132,0.066,0.531
10,0,4,1,0.271,0.07,0.563
11,0,1,1,0.197,0.065,0.523
12,3,4,1,0.201,0.07,0.563
13,0,5,0,0.273,0.066,0.531
14,2,0,1,0.198,0.062,0.492
15,1,3,1,0.264,0.066,0.531
16,1,4,0,0.194,0.062,0.492
17,3,2,1,0.264,0.07,0.563
18,1,5,0,0.277,0.066,0.531
19,1,0,1,0.137,0.07,0.563
20,2,1,1,0.264,0.066,0.531
21,0,2,0,0.202,0.062,0.492
22,2,4,1,0.276,0.07,0.563
23,3,3,1,0.259,0.065,0.523
24,2,3,1,0.265,0.066,0.531
25,2,4,0,0.255,0.065,0.523
26,2,2,0,0.264,0.062,0.492
27,1,4,1,0.259,0.065,0.523
28,1,2,0,0.272,0.07,0.563
29,0,0,1,0.066,0.066,0.531
30,0,4,0,0.189,0.062,0.492

# CPU COMPLETION METRICS
CPU ID,Completion Time,I/O Processes,Number of Jobs,% of Jobs
0,5,96,8,0.267
1,5,86,8,0.267
2,5,73,7,0.233
3,5,83,7,0.233
